city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
113.0,0.698,1.0,0.0,1.0,1.0,-1.0,5.0,3.0,1.0,1.0,1.0,0.0
103.0,0.939,2.0,1.0,0.0,2.0,0.0,6.0,5.0,2.0,1.0,1.0,0.0
5.0,0.92,1.0,1.0,0.0,-1.0,0.0,15.0,-1.0,0.0,4.0,-1.0,1.0
11.0,0.55,1.0,0.0,0.0,2.0,0.0,3.0,5.0,2.0,1.0,2.0,0.0
65.0,0.899,-1.0,1.0,0.0,3.0,0.0,18.0,-1.0,-1.0,5.0,1.0,0.0
35.0,0.763,1.0,-1.0,0.0,3.0,-1.0,8.0,0.0,0.0,1.0,2.0,0.0
5.0,0.92,1.0,1.0,0.0,2.0,0.0,21.0,4.0,0.0,5.0,2.0,0.0
66.0,0.698,1.0,1.0,0.0,3.0,0.0,14.0,5.0,0.0,0.0,1.0,0.0
5.0,0.92,1.0,0.0,2.0,2.0,0.0,7.0,3.0,5.0,4.0,1.0,0.0
5.0,0.92,1.0,1.0,1.0,2.0,-1.0,7.0,1.0,0.0,4.0,1.0,1.0
11.0,0.55,1.0,1.0,0.0,2.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0
13.0,0.926,1.0,1.0,0.0,2.0,0.0,21.0,5.0,0.0,5.0,1.0,0.0
6.0,0.924,1.0,1.0,0.0,2.0,1.0,21.0,4.0,0.0,2.0,1.0,0.0
64.0,0.624,2.0,1.0,1.0,3.0,0.0,13.0,2.0,0.0,-1.0,1.0,1.0
2.0,0.887,1.0,1.0,0.0,2.0,0.0,18.0,2.0,0.0,2.0,1.0,0.0
28.0,0.742,1.0,1.0,0.0,2.0,0.0,7.0,5.0,0.0,1.0,3.0,0.0
7.0,0.794,2.0,1.0,0.0,2.0,0.0,21.0,2.0,-1.0,-1.0,2.0,0.0
5.0,0.92,-1.0,-1.0,0.0,2.0,0.0,21.0,3.0,-1.0,1.0,3.0,0.0
64.0,0.624,1.0,1.0,0.0,2.0,0.0,15.0,2.0,0.0,1.0,3.0,1.0
27.0,0.68,1.0,0.0,-1.0,-1.0,0.0,10.0,-1.0,0.0,2.0,1.0,0.0
91.0,0.913,1.0,1.0,0.0,1.0,1.0,2.0,7.0,4.0,2.0,2.0,0.0
13.0,0.926,1.0,1.0,0.0,4.0,0.0,-1.0,1.0,4.0,1.0,-1.0,0.0
5.0,0.92,-1.0,1.0,0.0,-1.0,0.0,15.0,-1.0,1.0,4.0,3.0,0.0
5.0,0.92,1.0,1.0,0.0,2.0,0.0,17.0,0.0,0.0,4.0,1.0,0.0
64.0,0.624,1.0,1.0,0.0,2.0,0.0,13.0,1.0,0.0,3.0,1.0,1.0
48.0,0.91,-1.0,0.0,0.0,2.0,0.0,21.0,5.0,1.0,1.0,2.0,0.0
